id,label
TEST_000,훼손
TEST_001,훼손
TEST_002,곰팡이
TEST_003,몰딩수정
TEST_004,훼손
TEST_005,면불량
TEST_006,훼손
TEST_007,훼손
TEST_008,오염
TEST_009,오타공
TEST_010,몰딩수정
TEST_011,훼손
TEST_012,훼손
TEST_013,오염
TEST_014,훼손
TEST_015,훼손
TEST_016,오타공
TEST_017,훼손
TEST_018,훼손
TEST_019,훼손
TEST_020,오염
TEST_021,터짐
TEST_022,훼손
TEST_023,석고수정
TEST_024,꼬임
TEST_025,오염
TEST_026,훼손
TEST_027,오염
TEST_028,훼손
TEST_029,훼손
TEST_030,훼손
TEST_031,훼손
TEST_032,훼손
TEST_033,오염
TEST_034,곰팡이
TEST_035,훼손
TEST_036,훼손
TEST_037,훼손
TEST_038,오타공
TEST_039,꼬임
TEST_040,훼손
TEST_041,꼬임
TEST_042,훼손
TEST_043,오염
TEST_044,훼손
TEST_045,훼손
TEST_046,훼손
TEST_047,훼손
TEST_048,오염
TEST_049,오염
TEST_050,오염
TEST_051,오염
TEST_052,훼손
TEST_053,훼손
TEST_054,훼손
TEST_055,훼손
TEST_056,훼손
TEST_057,훼손
TEST_058,훼손
TEST_059,훼손
TEST_060,오타공
TEST_061,몰딩수정
TEST_062,훼손
TEST_063,훼손
TEST_064,훼손
TEST_065,오염
TEST_066,오염
TEST_067,오염
TEST_068,훼손
TEST_069,면불량
TEST_070,오염
TEST_071,오염
TEST_072,오염
TEST_073,오염
TEST_074,훼손
TEST_075,훼손
TEST_076,훼손
TEST_077,오염
TEST_078,훼손
TEST_079,오염
TEST_080,훼손
TEST_081,훼손
TEST_082,훼손
TEST_083,오타공
TEST_084,걸레받이수정
TEST_085,오염
TEST_086,오염
TEST_087,훼손
TEST_088,훼손
TEST_089,훼손
TEST_090,훼손
TEST_091,훼손
TEST_092,훼손
TEST_093,오염
TEST_094,훼손
TEST_095,훼손
TEST_096,훼손
TEST_097,오염
TEST_098,오타공
TEST_099,오염
TEST_100,훼손
TEST_101,훼손
TEST_102,훼손
TEST_103,터짐
TEST_104,훼손
TEST_105,훼손
TEST_106,훼손
TEST_107,훼손
TEST_108,훼손
TEST_109,훼손
TEST_110,훼손
TEST_111,훼손
TEST_112,훼손
TEST_113,훼손
TEST_114,오염
TEST_115,훼손
TEST_116,훼손
TEST_117,훼손
TEST_118,피스
TEST_119,훼손
TEST_120,훼손
TEST_121,훼손
TEST_122,훼손
TEST_123,몰딩수정
TEST_124,훼손
TEST_125,훼손
TEST_126,훼손
TEST_127,훼손
TEST_128,훼손
TEST_129,오타공
TEST_130,오염
TEST_131,오염
TEST_132,꼬임
